process,proces
produce,vyrabet
product,produkt
production,vyroba
professional,profesionalni
professor,profesor
program,program
project,projekt
property,majetek
protect,chranit
prove,prokazat
provide,poskytnout
public,verejne
pull,vytahnout
purpose,ucel
push,push
put,vlozit
quality,kvalita
question,otazka
quickly,rychle
quite,zcela
race,zavod
radio,radio
raise,zvysit
range,rozsah
rate,sazba
rather,spise
reach,dosah
read,Prectete si
ready,pripraveno
real,skutecne
reality,realita
realize,realizovat
really,opravdu
reason,duvod
receive,prijimat
recent,nedavne
recently,nedavno
recognize,rozpoznat
record,zaznam
red,cervena
reduce,snizit
reflect,odrazeji
region,region
relate,se tykaji
relationship,vztah
religious,nabozenske
remain,zustat
remember,vzpomente si na
remove,odstranit
report,zprava
represent,reprezentovat
Republican,Republikani
require,vyzaduji
research,vyzkum
resource,zdroj
respond,reagovat
response,odpoved
responsibility,odpovednost
rest,odpocinek
result,vysledek
return,vratit
reveal,odhalit
rich,rich
right,vpravo
rise,rise
risk,riziko
road,silnice
rock,rock
role,role
room,pokoj
rule,pravidlo
run,spustit
safe,bezpecny
same,totez
save,ulozit
say,rekneme
scene,scena
school,skola
science,veda
scientist,vedec
score,skore
sea,more
season,sezona
seat,sedadlo
second,druhy
section,sekce
security,zabezpeceni
see,viz
seek,hledat
seem,Zda se ze
sell,prodavat
send,odeslat
senior,senior
sense,smysl
series,rada
serious,vazne
serve,slouzit
service,sluzba
set,nastavit
seven,sedm
several,nekolik
sex,sex
sexual,sexualni
shake,trast
share,sdilet
she,ona
shoot,strilet
short,kratky
shot,shot
should,by mel
shoulder,rameno
show,Zobrazit
side,strana
sign,znameni
significant,vyznamne
similar,podobne
simple,jednoduchy
simply,jednoduse
since,od
sing,zpivat
single,jediny
sister,sestra
sit,sedet
site,stranky
situation,situace
six,sest
size,velikost
skill,dovednost
skin,kuze
small,male
smile,usmev
so,takze
social,socialni
society,spolecnost
soldier,vojak
some,nektere
somebody,nekdo
someone,nekdo
something,neco
sometimes,nekdy
son,syn
song,pisen
soon,brzy
sort,tridit
sound,zvuk
source,zdroj
south,jih
southern,jizni
space,prostor
speak,mluvit
special,specialni
specific,specificke
speech,rec
spend,utratit
sport,sport
spring,jaro
staff,zamestnanci
stage,etapa
stand,stojan
standard,standard
star,hvezda
start,zacit
state,stat
statement,vypis
station,stanice
stay,zustat
step,krok
still,stale
stock,zasoby
stop,zastavit
store,ukladat
story,pribeh
strategy,strategie
street,ulice
strong,silna
structure,struktura
student,student
study,studium
stuff,veci
style,styl
subject,predmet
success,uspech
successful,uspesny
such,napriklad
suddenly,nahle
suffer,trpi
suggest,navrhnout
summer,leto
support,podpora
sure,jiste
surface,povrch
system,system
table,tabulka
take,prevzit
talk,diskuse
task,ukol
tax,dan
teach,ucit
teacher,ucitel
team,tym
technology,technologie
television,televize
tell,reknete
ten,deset
tend,tendence
term,termin
test,test
than,nez
thank,dekuji
that,ze
the,na
their,jejich
them,je
themselves,sami
then,pak
theory,teorie
there,tam
these,tyto
they,jsou
thing,vec
think,think
third,treti
this,tento
those,ty
though,ackoli
thought,myslenka
thousand,tisic
threat,hrozba
three,tri
through,prostrednictvim
throughout,v celem
throw,hodit
thus,tedy
time,cas
to,na
today,dnes
together,spolecne
tonight,dnes vecer
too,prilis
top,top
total,celkem
tough,tvrdy
toward,smerem k
town,mesto
trade,obchod
traditional,tradicni
training,skoleni
travel,cestovani
treat,osetreni
treatment,lecba
tree,strom
trial,zkusebni verze
trip,vylet
trouble,potize
true,Pravda
truth,pravda
try,zkuste
turn,otocit
TV,TV
two,dva
type,typ
under,pod
understand,porozumet
unit,jednotka
until,do
up,nahoru
upon,na adrese
us,nas
use,pouzit
usually,obvykle
value,hodnota
various,ruzne
very,velmi
victim,obet
view,zobrazit
violence,nasili
visit,navstivte
voice,hlas
vote,hlasovat
wait,cekat
walk,prochazka
wall,stena
want,chtit
war,valka
watch,sledovat
water,voda
way,cesta
we,my
weapon,zbran
wear,nosit
week,tyden
weight,hmotnost
well,dobre
west,zapadni
western,zapadni
what,co
whatever,cokoli
when,kdyz
where,kde
whether,zda
which,ktery
while,zatimco
white,bila
who,kdo
whole,cely
whom,koho
whose,jehoz
why,proc
wide,siroky
wife,manzelka
will,bude
win,vyhrat
wind,vitr
window,okno
wish,prani
with,s
within,v ramci
without,bez
woman,zena
wonder,zazrak
word,slovo
work,prace
worker,pracovnik
world,svet
worry,starosti
would,by
write,napsat
writer,spisovatel
wrong,spatne
yard,dvur
yeah,ano
year,rok
yes,ano
yet,presto
you,vy
young,mlady
your,vase
yourself,sami
